gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000158161.16,5337,4385,6048,5197,5251,4714
ENSG00000228589.3,61,61,84,41,62,58
ENSG00000169403.12,1054,720,1171,1074,1171,795
ENSG00000126698.11,12462,11649,15649,14573,14345,14560
ENSG00000290123.1,17,10,17,9,19,9
ENSG00000130770.18,4016,3395,4906,4094,4591,4474
ENSG00000270605.1,33,26,48,32,41,36
ENSG00000130766.5,5852,5368,7413,7076,7439,7337
ENSG00000130772.14,1408,1233,1768,1502,1594,1518
ENSG00000204138.13,6964,5669,7793,6876,7016,6062
ENSG00000180198.17,7618,6996,9805,8008,8187,8299
ENSG00000242125.3,2630,2142,3013,2313,2612,2392
ENSG00000200087.1,20,9,30,37,19,19
ENSG00000279443.1,70,67,76,93,100,75
ENSG00000180098.9,1326,1118,1635,1351,1405,1525
ENSG00000197989.15,239,164,257,273,322,152
ENSG00000120656.14,1642,1461,1951,1690,1809,1778
ENSG00000188060.8,85,65,107,54,76,90
ENSG00000229388.1,2,4,1,4,3,4
ENSG00000162419.13,2247,1900,2246,2162,2169,1745
ENSG00000289291.1,69,57,83,69,87,78
ENSG00000198492.16,15190,13200,18441,16208,15411,15600
ENSG00000116329.12,47,52,46,29,33,34
ENSG00000159023.23,9109,7800,10808,7930,8047,7780
ENSG00000225616.2,14,22,23,27,38,42
ENSG00000253304.2,1219,1090,1541,1074,1144,1381
ENSG00000116350.18,7889,6522,9526,7619,8087,7980
ENSG00000116353.16,1558,1378,1976,1624,1635,1841
ENSG00000060656.20,9747,8525,12084,11776,12269,12003
ENSG00000162510.6,3,9,9,8,2,9
ENSG00000186056.11,11,4,9,17,18,10
ENSG00000162511.8,27,23,30,30,35,34
ENSG00000162512.16,7251,6474,8870,6927,6596,7790
ENSG00000134644.16,14277,11680,16619,14867,15453,13273
ENSG00000084628.10,3713,3465,4733,2701,2759,4433
ENSG00000060688.13,5711,4761,7062,5813,6174,5723
ENSG00000229447.2,2,3,5,3,4,5
ENSG00000121766.16,6188,5417,7335,6762,6394,6910
ENSG00000121769.8,998,745,1215,865,973,1060
